time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0001,RPNAS1_SColTempo_0002_delta_tempo,OMCCL_nOK_0004,ref_2020_04_22,RPBNDxRPSGO_ativado,RPCGR_nOK_0001,RPCGR_nOK_0002,ref_2020_04_24,ref_Periodo,RPFDIxRPMPX_ativado,RPNAS_nOK_0002,ref_2020_04_14,RPPMT_SColTempo_0001_delta_tempo,ref_2020_04_15,OMCCLxRPATJ_ativado,ref_2020_04_17,ref_2020_04_16,ref_2020_04_11,chamados_MSRPJRD,ref_2020_04_13,ref_2020_04_12,RPPPR_SColTempo_0004_delta_tempo,chamados_MSRPATJ,RPPMT1_SColTempo_0001_delta_tempo,RPMPX_nOK_0003,RPMPX_nOK_0002,chamados_MSRPFDI,RPMRDxRPFGR_ativado,chamados_MSOMJRD,ref_2020_04_28,localidade_id_MSOMJRD_1749,ref_2020_04_20,ref_2020_04_21,RPJRD_nOK_0002,ref_2020_04_23,localidade_id_MSOMMMA_1749,ref_2020_04_25,ref_2020_04_26,localidade_id_MSRPJRD_1749,RPAMBxRPTCU_ativado,RPPMT_SColTempo_0002_delta_tempo,OMJRD_nOK_0002,localidade_id_MSRPSPE_1749,ref_2020_04_07,RPNASxRPRBR_ativado,RPPPR_nOK_0003,RPPPR_nOK_0001,RPPPR_nOK_0004,RPFSJxRPPMT_ativado,RPDOU_nOK_0001,RPSGOxRPFMA_ativado,OMCARCxRPFSJ_ativado,localidade_id_MSOMCCL_1749,ref_2020_04_04,RPPPR_SColTempo_0001_delta_tempo,OMCGR_nOK_0001,chamados_MSRPMPX,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,ref_2020_04_29,RPPPRxOMCCL_ativado,RPFTBxRPFXS_ativado,RPDOUxOMDOU_ativado,localidade_id_MSRPNAS1_1749,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,localidade_id_MSOMBLV_1749,ref_2020_04_19,RPFGRxRPFTB_ativado,ref_2020_04_18,chamados_MSRPCGR,Chamados_Desconto,RPNAS_nOK_0001,RPNAS1_SColTempo_0001_delta_tempo,ref_2020_04_27,RPAMOxRPAMB_ativado,chamados_MSOMBLV,RPPMT1xOMBBR_ativado,chamados_MSOMCCL,ref_2020_03_31,RPTCUxOMIGT_ativado,ref_2020_04_30,ref_2020_04_10,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,localidade_id_MSRPMPX_1749,chamados_MSRPNOQ,RPMMA_nOK_0001,RPMMA_nOK_0002,localidade_id_MSRPNOQ_1749,RPFMAxRPFSG_ativado,RPFSJxRPPMT1_ativado,RPPPR_SColTempo_0002_delta_tempo,OMBLV_nOK_0002,ref_2020_04_08,ref_2020_04_06,RPNOQ_nOK_0003,RPPMT1_SColTempo_0003_delta_tempo,RPRBR_nOK_0002,RPAMO1xRPAMO_ativado,RPRBR_nOK_0001,ref_2020_04_05,chamados_MSRPNAS1,chamados_MSRPSPE,RPPMT1_nOK_0001,RPAMO_nOK_0002,RPNAS1_nOK_0002,RPNOQ_nOK_0001,ref_2020_05_01,RPFDI_nOK_0001,localidade_id_MSRPCGR_1749,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMIGTxOMMNO_ativado,OMDOU_nOK_0001,chamados_MSRPMMA,localidade_id_MSRPATJ_1749,OMCGRxRPNVL_ativado,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPSPE_nOK_0002,RPMRDxOMAQD_ativado,RPSPE_nOK_0001,RPPPR_SColTempo_0003_delta_tempo,RPMPXxRPSPE_ativado,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,ref_2020_04_09,RPNOQ_nOK_0002,RPPPRxRPAMO1_ativado,localidade_id_MSRPFDI_1749,RPATJxOMBLV_ativado,ref_2020_04_02,ref_2020_04_03,ref_2020_04_01,RPPMTxOMPMT_ativado,RPATJ_nOK_0002,ref_2020_03,RPSPExRPNOQ_ativado,ref_2020_04,ref_2020_05
"2020-03-31 03:35:18","2020-03-31 08:29:50",17672.0,0.00639178471925, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, ,1,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, ,1,1, , 
"2020-03-31 08:29:50","2020-03-31 08:30:50",60.0,2.17013967381E-05, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, ,1,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, ,1,1, , 
"2020-03-31 08:30:50","2020-03-31 23:53:18",55348.0,0.020018815111, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, ,1,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, ,1,1, , 
"2020-03-31 23:53:18","2020-03-31 23:54:18",60.0,2.17013967381E-05, , , , ,1, ,1, ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, ,1,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, ,1,1, , 
"2020-03-31 23:54:18","2020-03-31 23:59:59",341.0,0.000123336271461, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, ,1,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, ,1,1, , 
"2020-03-31 23:59:59","2020-04-01 00:00:00",1.0,3.61689945634E-07, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, , ,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , , ,1, , ,1, , 
"2020-04-01 00:00:00","2020-04-01 00:00:18",18.0,6.51041902142E-06, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, , ,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , ,1,1, , ,1,1, 
"2020-04-01 00:00:18","2020-04-01 00:01:18",60.0,2.17013967381E-05, , , , ,1, ,1, ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, , ,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , ,1,1, , ,1,1, 
"2020-04-01 00:01:18","2020-04-01 00:09:48",510.0,0.000184461872274, , , , ,1, , , ,1,1, , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , ,1, , , , ,1, , , ,1, ,1,1, , , , , ,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , , ,1, ,1, , ,1, , ,1,1,1,1,1,1,1,1, , , , , ,1,1, , , , , , , ,1, , , , , , , , , , , ,1,1,1, , , ,1,1,1, ,1, , ,1,1,1, , ,1, ,1, , ,1,1, , ,1,1, 
"2020-04-01 00:09:48","2020-04-01 06:14:02",21854.0,0.00790437207189, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:14:02","2020-04-01 06:15:02",60.0,2.17013967381E-05, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1,1,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:15:02","2020-04-01 06:36:02",1260.0,0.000455729331499, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:36:02","2020-04-01 06:36:10",8.0,2.89351956508E-06, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1,1,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:36:10","2020-04-01 06:37:02",52.0,1.8807877173E-05, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1,1,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1,1, ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:37:02","2020-04-01 06:37:10",8.0,2.89351956508E-06, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1,1, ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 06:37:10","2020-04-01 22:06:04",55734.0,0.02015842743, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:06:04","2020-04-01 22:06:06",2.0,7.23379891269E-07, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , ,1,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:06:06","2020-04-01 22:07:04",58.0,2.09780168468E-05, , ,1, ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , ,1,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:07:04","2020-04-01 22:07:05",1.0,3.61689945634E-07, , ,1, ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:07:05","2020-04-01 22:09:04",119.0,4.30411035305E-05, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:09:04","2020-04-01 22:09:05",1.0,3.61689945634E-07, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , ,1,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:09:05","2020-04-01 22:10:04",59.0,2.13397067924E-05, , ,1, ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , ,1,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:10:04","2020-04-01 22:10:05",1.0,3.61689945634E-07, , ,1, ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:10:05","2020-04-01 22:57:04",2819.0,0.00101960395674, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , , ,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
"2020-04-01 22:57:04","2020-04-01 22:58:04",60.0,2.17013967381E-05, , , , ,1, , , ,1,1, , , , ,1, , , ,1, , , ,1, , , ,1,1,1, ,1, , , , ,1, , ,1,1, , ,1, ,1, , ,1,1, ,1,1,1, , , ,1,1,1, ,1,1,1,1,1,1,1,1, ,1, ,1,1, , , ,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1, , ,1,1,1, , , , , , , ,1, , ,1,1, , , , , , ,1,1,1,1, ,1,1,1,1,1, ,1, , ,1,1,1, , ,1,1,1, , ,1,1, , ,1,1, 
