time_ini,time_end,duration_seg,duration_percent,localidade_id_MSRPMPX_1034,ref_2018_07_21,localidade_id_MSOMCARC_1482,RPSPE_SColTempo_0001_delta_tempo,ref_2018_07_27,ref_2018_07_19,chamados_MSRPPPR,RPNOQ_nOK_0001,localidade_id_MSOMCGR_1417,localidade_id_MSRPRBR_1128,chamados_MSOMCARC,ref_2018_07_08,localidade_id_MSRPNOQ_1526,ref_2018_07_22,localidade_id_MSRPPPR_1251,localidade_id_MSOMJRD_1459,ref_2018_07_31,ref_2018_07_30,ref_Periodo,ref_2018_07_14,ref_2018_07_17,chamados_MSOMMNO,ref_2018_07_11,localidade_id_MSRPNAS_1433,ref_2018_07_13,chamados_MSOMCGR,localidade_id_MSOMJRD_1245,localidade_id_MSRPTCU_1166,ref_2018_07_18,localidade_id_MSRPTCU_468,ref_2018_07_23,ref_2018_07_10,ref_2018_07_01,chamados_MSRPMPX,ref_2018_07,localidade_id_Savis_1509,localidade_id_Savis_1520,localidade_id_MSRPMMA_1106,chamados_Savis,ref_2018_07_15,RPNOQ_SColTempo_0001_delta_tempo,chamados_MSRPTCU,localidade_id_MSRPNVL_1543,chamados_MSRPNOQ,chamados_MSRPMMA,ref_2018_07_07,chamados_MSRPNVL,localidade_id_MSOMCGR_559,chamados_MSRPRBR,RPSPE_nOK_0001,ref_2018_07_24,ref_2018_07_20,ref_2018_07_12,chamados_MSOMJRD,ref_2018_07_06,localidade_id_MSRPTCU_570,ref_2018_07_04,ref_2018_07_05,ref_2018_07_02,ref_2018_07_03,ref_2018_07_26,Chamados_Desconto,ref_2018_07_28,ref_2018_07_29,localidade_id_MSOMMNO_1276,localidade_id_MSOMBLV_1372,localidade_id_MSRPRBR_1265,ref_2018_07_09,localidade_id_MSRPMPX_1042,ref_2018_07_25,ref_2018_07_16,chamados_MSRPNAS,localidade_id_Savis_1531,chamados_MSOMBLV,localidade_id_MSRPMMA_1471,localidade_id_MSRPMPX_1542,localidade_id_MSRPTCU_1371
"2018-07-11 00:00:00","2018-07-11 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-11 23:59:59","2018-07-12 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-12 00:00:00","2018-07-12 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-12 23:59:59","2018-07-13 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-13 00:00:00","2018-07-13 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-13 23:59:59","2018-07-14 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-14 00:00:00","2018-07-14 07:00:00",25200.0,0.000895507144708, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-14 07:00:00","2018-07-14 23:59:59",61199.0,0.00217476752972, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , ,1,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-14 23:59:59","2018-07-15 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-15 00:00:00","2018-07-15 19:00:00",68400.0,0.00243066224992, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1,1, , , , ,1, , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , ,1, 
"2018-07-15 19:00:00","2018-07-15 23:59:59",17999.0,0.000639612424508, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-15 23:59:59","2018-07-16 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-16 00:00:00","2018-07-16 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , 
"2018-07-16 23:59:59","2018-07-17 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-17 00:00:00","2018-07-17 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-17 23:59:59","2018-07-18 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-18 00:00:00","2018-07-18 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-18 23:59:59","2018-07-19 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-19 00:00:00","2018-07-19 23:59:59",86399.0,0.00307027467443, , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-19 23:59:59","2018-07-20 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-20 00:00:00","2018-07-20 23:59:59",86399.0,0.00307027467443, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-20 23:59:59","2018-07-21 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-21 00:00:00","2018-07-21 23:59:59",86399.0,0.00307027467443, ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-07-21 23:59:59","2018-07-22 00:00:00",1.0,3.55359978059E-08, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
