time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0001,RPNAS1_SColTempo_0002_delta_tempo,OMCCL_nOK_0004,RPCGR_nOK_0002,localidade_id_MSRPNAS1_2122,RPFGR_SColTempo_0001_delta_tempo,ref_Periodo,RPFDIxRPMPX_ativado,RPMRD_SColTempo_0001_delta_tempo,RPNAS_nOK_0001,OMCCLxRPATJ_ativado,RPNAS_SColTempo_0002_delta_tempo,ref_2019_03_30,ref_2019_03_31,RPPPR_SColTempo_0004_delta_tempo,RPAMB_nOK_0003,RPMRDxRPFGR_ativado,RPMMA_SColTempo_0003_delta_tempo,ref_2019_02,OMBLV_SColTempo_0001_delta_tempo,ref_2019_03_21,ref_2019_03_20,RPAMBxRPTCU_ativado,ref_2019_03_22,ref_2019_03_25,ref_2019_03_24,ref_2019_03_27,ref_2019_03_26,ref_2019_03_29,ref_2019_03_28,RPJRD_nOK_0002,RPPPRxOMCCL_ativado,RPJRD_SColTempo_0002_delta_tempo,RPAMB_SColTempo_0002_delta_tempo,RPNASxRPRBR_ativado,RPPPR_nOK_0002,RPPPR_nOK_0004,RPDOU_nOK_0001,ref_2019_03_18,ref_2019_03_19,ref_2019_03_14,ref_2019_03_15,ref_2019_03_16,ref_2019_03_17,ref_2019_03_10,ref_2019_03_11,ref_2019_03_12,ref_2019_03_13,OMBLV_SColTempo_0002_delta_tempo,RPRBR_SColTempo_0002_delta_tempo,OMJRDxRPJRD_ativado,ref_2019_04,OMCGRxRPCGR_ativado,ref_2019_03,RPTRN_SColTempo_0001_delta_tempo,RPAMO_SColTempo_0002_delta_tempo,localidade_id_MSRPNAS_2122,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,ref_2019_03_09,ref_2019_03_08,Chamados_Desconto,ref_2019_03_03,ref_2019_03_02,RPBND_SColTempo_0003_delta_tempo,ref_2019_03_07,ref_2019_03_06,ref_2019_03_05,ref_2019_03_04,RPNAS1_SColTempo_0001_delta_tempo,RPMRD_nOK_0002,RPAMOxRPAMB_ativado,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPMMA_SColTempo_0001_delta_tempo,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPMMA_SColTempo_0002_delta_tempo,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,ref_2019_03_23,RPMRD_SColTempo_0003_delta_tempo,RPNAS1_nOK_0002,OMBLV_nOK_0002,OMBLV_nOK_0001,ref_2019_03_01,chamados_MSRPNAS1,RPAMO_nOK_0002,RPNVL_SColTempo_0003_delta_tempo,ref_2019_04_01,RPMPX_SColTempo_0003_delta_tempo,RPAMO_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,RPSPExRPNOQ_ativado,OMIGTxOMMNO_ativado,OMCGRxRPNVL_ativado,RPMRD_SColTempo_0002_delta_tempo,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPMRDxOMAQD_ativado,RPMPXxRPSPE_ativado,RPRBR_SColTempo_0001_delta_tempo,RPJRDxRPMMA_ativado,ref_2019_02_28,RPNOQxOMJRD_ativado,chamados_MSRPNAS,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPATJ_nOK_0001,RPATJ_nOK_0002,OMCARC_SColTempo_0003_delta_tempo,OMAQD_SColTempo_0002_delta_tempo
"2019-03-01 16:04:51","2019-03-01 16:04:53",2.0,7.01459280815E-07, , , , ,1,242028,1,1, , ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , ,1,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-01 16:04:53","2019-03-01 16:04:57",4.0,1.40291856163E-06, , , , ,1,242028,1,1, , ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , ,1,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029, 
"2019-03-01 16:04:57","2019-03-01 16:05:02",5.0,1.75364820204E-06, , , , ,1,242028,1,1, , ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, , , , , ,1,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029, 
"2019-03-01 16:05:02","2019-03-01 16:05:08",6.0,2.10437784244E-06, , , , ,1,242028,1,1, , ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, , , , , ,1,1, , , ,242028, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029, 
"2019-03-01 16:05:08","2019-03-01 16:05:25",17.0,5.96240388693E-06, , , , ,1,242028,1,1, , ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, , , , , ,1,1, , , ,242028, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-01 16:05:25","2019-03-01 16:05:33",8.0,2.80583712326E-06, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , ,1,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-01 16:05:33","2019-03-01 16:05:45",12.0,4.20875568489E-06, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , ,1,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-01 16:05:45","2019-03-01 23:59:59",28454.0,0.00997966118815, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , ,1,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-01 23:59:59","2019-03-02 00:00:00",1.0,3.50729640407E-07, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-02 00:00:00","2019-03-02 23:59:59",86399.0,0.0303026902016, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, ,1, , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-02 23:59:59","2019-03-03 00:00:00",1.0,3.50729640407E-07, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-03 00:00:00","2019-03-03 23:59:59",86399.0,0.0303026902016, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1,1, , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-03 23:59:59","2019-03-04 00:00:00",1.0,3.50729640407E-07, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , , , , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-04 00:00:00","2019-03-04 11:18:33",40713.0,0.0142792558499, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, ,241968, , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-04 11:18:33","2019-03-04 11:18:39",6.0,2.10437784244E-06, , , , ,1,242028,1,1,242028, ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-04 11:18:39","2019-03-04 11:18:42",3.0,1.05218892122E-06, , , , ,1, ,1,1,242028, ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , ,242029,242028
"2019-03-04 11:18:42","2019-03-04 11:18:45",3.0,1.05218892122E-06, , , , ,1, ,1,1,242028, ,1, , , , , ,1,242028, , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,242028,1,1,1,242028,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , , ,242028
"2019-03-04 11:18:45","2019-03-04 11:18:50",5.0,1.75364820204E-06, , , , ,1, ,1,1,242028, ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, ,242028, , , , ,1, , , ,242028, ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , , ,242028
"2019-03-04 11:18:50","2019-03-04 11:18:56",6.0,2.10437784244E-06, , , , ,1, ,1,1,242028, ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, ,242028, , , , ,1, , , , , ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , , ,242028
"2019-03-04 11:18:56","2019-03-04 11:19:13",17.0,5.96240388693E-06, , , , ,1, ,1,1,242028, ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, ,242028, , , , ,1, , , , , ,1,1,1,1,1,242028,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-04 11:19:13","2019-03-04 11:19:21",8.0,2.80583712326E-06, , , , ,1, ,1,1, , ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1,242028, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-04 11:19:21","2019-03-04 13:06:33",6432.0,0.0022558930471, , , , ,1, ,1,1, , ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-04 13:06:33","2019-03-04 13:06:39",6.0,2.10437784244E-06, , , , ,1, ,1,1, , ,1, , , , , ,1, , ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-04 13:06:39","2019-03-04 13:06:42",3.0,1.05218892122E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1, , ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , , , 
"2019-03-04 13:06:42","2019-03-04 13:06:45",3.0,1.05218892122E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1, , ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1, ,1,1,1, ,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239, 
"2019-03-04 13:06:45","2019-03-04 13:06:50",5.0,1.75364820204E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , , , ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239, 
"2019-03-04 13:06:50","2019-03-04 13:06:56",6.0,2.10437784244E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239, 
"2019-03-04 13:06:56","2019-03-04 13:07:13",17.0,5.96240388693E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 13:07:13","2019-03-04 13:07:21",8.0,2.80583712326E-06, , , , ,1,3239,1,1,3180, ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, ,3180, , , , ,1, , , ,3240, ,1,1,1,1,1,3180,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 13:07:21","2019-03-04 14:00:13",3172.0,0.00111251441937, , , , ,1,3239,1,1,3180, ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1,3180, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, ,3180, , , , ,1, , , ,3240, ,1,1,1,1,1,3180,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 14:00:13","2019-03-04 14:00:21",8.0,2.80583712326E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1,3180, ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 14:00:21","2019-03-04 14:00:33",12.0,4.20875568489E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, ,3240, , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 14:00:33","2019-03-04 14:00:38",5.0,1.75364820204E-06, , , , ,1,3239,1,1, , ,1, , , , , ,1,3241, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
"2019-03-04 14:00:38","2019-03-04 14:00:41",3.0,1.05218892122E-06, , , , ,1, ,1,1, , ,1, , , , , ,1,3241, , , , ,1, , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1,1,1, , ,1, , , , , , ,1, , ,1,1,1,1,1,3241,1,1,1,3241,1,1, , , , , , ,1, , , ,3240, ,1,1,1,1,1, ,1,1,1,1, ,1, ,1,1,1,1,1, , ,3239,3240
