dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-02 12:16:58.0,2017-09-02 12:33:25.0,987,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-06 07:07:27.0,2017-09-06 07:27:26.0,1199,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-06 08:07:35.0,2017-09-06 08:22:27.0,892,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-06 09:07:35.0,2017-09-06 09:27:31.0,1196,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-18 08:05:52.0,2017-09-18 08:18:52.0,780,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 01:11:02.0,2017-09-23 01:14:02.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 02:53:02.0,2017-09-23 02:56:02.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 05:03:02.0,2017-09-23 05:06:02.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:18:02.0,2017-09-23 07:21:02.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:36:02.0,2017-09-23 07:44:02.0,480,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:06:02.0,2017-09-23 08:11:03.0,301,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-25 17:37:08.0,2017-09-25 17:40:07.0,179,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:35:14.0,2017-09-28 17:44:13.0,539,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:14.0,2017-09-28 18:08:14.0,960,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:13:14.0,2017-09-28 18:16:14.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:16:14.0,2017-09-28 18:21:14.0,300,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:25:20.0,2017-10-01 16:32:15.0,415,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:32:28.0,2017-10-01 16:38:41.0,373,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:40:28.0,2017-10-01 16:49:20.0,532,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:10:20.0,2017-10-01 17:15:27.0,307,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
